//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.900750160	18.957750320	-1.289499998	1.0000000000	19.2999992371	-7.4600000381
-5.890250206	18.947750092	-1.287500024	2.0000000000	19.8400001526	-6.2300000191
-5.891749859	18.950250626	-1.287750006	1.0000000000	20.1800003052	-6.5799999237
-5.890999794	18.944999695	-1.280500054	2.0000000000	19.9699993134	-6.0999999046
-5.892000198	18.949499130	-1.283750057	2.0000000000	19.6599998474	-7.8099999428
-5.891749859	18.949249268	-1.280500054	1.0000000000	20.0499992371	-6.7100000381
-5.903250217	18.954250336	-1.285500050	1.0000000000	14.0000000000	-6.2600002289
-5.903500080	18.956499100	-1.285750031	2.0000000000	18.8600006104	-7.2100000381
-5.901500225	18.958999634	-1.283249974	0.0000000000	19.2999992371	-7.4600000381
-5.899499893	18.956249237	-1.281000018	3.0000000000	16.5000000000	-6.9299998283
-5.895750046	18.955499649	-1.283499956	3.0000000000	19.5300006866	-6.5399999619
-5.914500237	18.966749191	-1.290249944	1.0000000000	19.1900005341	-4.5599999428
-5.906499863	18.965999603	-1.292000055	3.0000000000	15.8100004196	-4.9000000954
-5.910250187	18.968000412	-1.292750001	5.0000000000	16.4099998474	-7.0199999809
-5.910999775	18.969249725	-1.289999962	3.0000000000	19.2299995422	-7.5199999809
-5.910999775	18.973249435	-1.291000009	3.0000000000	17.5799999237	-5.8499999046
-5.913499832	18.967750549	-1.280500054	1.0000000000	18.5400009155	-5.2100000381
-5.913750172	18.972000122	-1.287250042	1.0000000000	19.2199993134	-8.2600002289
-5.912749767	18.971500397	-1.281499982	1.0000000000	21.4599990845	-6.0199999809
-5.911749840	18.971500397	-1.282750010	1.0000000000	19.2500000000	-7.5000000000
-5.909249783	18.969249725	-1.280500054	4.0000000000	15.3699998856	-4.8899998665
-5.902500153	18.959999084	-1.291499972	6.0000000000	16.3700008392	-11.1000003815
-5.903250217	18.960250854	-1.284250021	5.0000000000	19.2299995422	-8.2399997711
-5.924499989	18.982999802	-1.304499984	2.0000000000	15.8500003815	-4.8600001335
-5.925749779	18.989000320	-1.305750012	2.0000000000	16.4599990845	-6.9699997902
-5.922749996	18.985500336	-1.301749945	0.0000000000	18.0799999237	-5.6700000763
-5.936500072	19.005750656	-1.305750012	0.0000000000	16.9099998474	-6.8400001526
-5.936999798	19.006500244	-1.302250028	2.0000000000	18.0400009155	-8.6999998093
-5.931499958	18.995500565	-1.300500035	4.0000000000	18.4099998474	-5.3400001526
-5.930250168	18.997499466	-1.300750017	4.0000000000	15.4200000763	-5.2899999619
-5.926249981	18.993749619	-1.301249981	1.0000000000	19.1700000763	-7.5700001717
-5.928750038	19.000000000	-1.301749945	1.0000000000	16.8600006104	-6.5700001717
-5.925499916	18.983749390	-1.290500045	1.0000000000	18.0599994659	-5.6900000572
-5.926499844	18.985250473	-1.292750001	4.0000000000	16.2900009155	-7.1399998665
-5.925250053	18.989000320	-1.293750048	4.0000000000	16.2800006866	-10.4600000381
-5.921750069	18.988500595	-1.294000030	5.0000000000	16.3799991608	-7.0500001907
-5.924250126	18.982500076	-1.287500024	3.0000000000	15.6700000763	-5.0399999619
-5.923250198	18.982000351	-1.286749959	0.0000000000	16.2099990845	-10.5399999619
-5.922999859	18.982500076	-1.284000039	5.0000000000	18.2600002289	-9.2200002670
-5.924749851	18.989000320	-1.283750057	5.0000000000	16.1900005341	-11.3000001907
-5.925749779	18.990499496	-1.280750036	1.0000000000	16.2700004578	-7.1599998474
-5.937500000	19.007499695	-1.295250058	5.0000000000	12.8100004196	-13.9300003052
-5.929999828	18.999000549	-1.292750001	0.0000000000	16.8400001526	-6.5900001526
-5.930749893	18.996500015	-1.290750027	1.0000000000	17.6100006104	-6.1399998665
-5.929749966	19.000749588	-1.291749954	1.0000000000	17.3799991608	-6.0500001907
-5.929500103	19.001499176	-1.291000009	4.0000000000	23.3600006104	-8.4200000763
-5.929749966	19.001750946	-1.288499951	1.0000000000	23.3199996948	-8.4600000381
-5.931250095	19.004999161	-1.292000055	5.0000000000	23.4500007629	-8.3299999237
-5.930749893	19.006500244	-1.290500045	3.0000000000	23.0499992371	-8.7299995422
-5.931749821	19.006250381	-1.288499951	1.0000000000	22.9899997711	-8.7899999619
-5.929500103	18.997499466	-1.282999992	2.0000000000	16.0000000000	-4.7100000381
-5.930749893	18.996999741	-1.280249953	0.0000000000	18.0000000000	-5.7500000000
-5.929500103	19.001499176	-1.284250021	1.0000000000	22.3400001526	-9.4399995804
-5.930250168	19.004749298	-1.287500024	5.0000000000	23.1100006104	-8.6700000763
-5.931250095	19.004499435	-1.286000013	2.0000000000	23.3500003815	-8.4300003052
-5.930749893	19.004499435	-1.285750031	3.0000000000	22.7199993134	-9.0600004196
-5.930250168	19.003000259	-1.282250047	4.0000000000	22.5900001526	-9.1899995804
-5.928999901	19.001499176	-1.281000018	1.0000000000	23.2999992371	-8.4799995422
-5.930250168	19.003250122	-1.281250000	5.0000000000	23.3700008392	-8.4099998474
-5.934750080	19.006999969	-1.280249953	2.0000000000	17.3500003815	-10.1400003433
-5.931250095	19.004749298	-1.283499956	3.0000000000	23.2299995422	-8.5500001907
-5.931000233	19.007249832	-1.283499956	4.0000000000	22.9099998474	-8.8699998856
-5.929249763	19.004249573	-1.281000018	3.0000000000	18.3099994659	-5.1199998856
-5.918749809	18.976749420	-1.293750048	1.0000000000	17.7099990845	-6.0399999619
-5.919250011	18.985000610	-1.292000055	0.0000000000	13.8800001144	-6.3899998665
-5.916749954	18.979000092	-1.282999992	1.0000000000	18.8299999237	-4.9200000763
-5.916999817	18.975999832	-1.280750036	3.0000000000	17.1900005341	-6.2399997711
-5.919750214	18.988500595	-1.281999946	0.0000000000	16.3899993896	-7.0399999619
-5.877250195	18.944250107	-1.312999964	0.0000000000	20.7399997711	-5.3299999237
-5.874249935	18.944999695	-1.315750003	2.0000000000	20.7500000000	-6.0100002289
-5.887499809	18.946250916	-1.310250044	0.0000000000	19.0200004578	-4.7300000191
-5.881249905	18.946750641	-1.310999990	1.0000000000	20.7700004578	-5.9899997711
-5.884749889	18.944749832	-1.305750012	2.0000000000	20.0200004578	-6.0500001907
-5.874249935	18.944749832	-1.309000015	2.0000000000	21.3500003815	-5.4099998474
-5.887000084	18.947250366	-1.298750043	6.0000000000	17.2199993134	-6.5300002098
-5.881249905	18.944749832	-1.296749949	0.0000000000	19.9799995422	-6.7800002098
-5.875500202	18.947500229	-1.302999973	2.0000000000	21.9899997711	-4.7699999809
-5.883999825	18.944499969	-1.291749954	2.0000000000	19.4799995422	-6.5900001526
-5.881249905	18.944499969	-1.290500045	0.0000000000	19.8700008392	-6.8899998665
-5.887000084	18.947999954	-1.289000034	5.0000000000	17.8299999237	-5.9200000763
-5.875999928	18.944749832	-1.290750027	2.0000000000	21.1599998474	-4.9099998474
-5.882500172	18.947500229	-1.283499956	1.0000000000	20.5300006866	-6.2300000191
-5.873000145	18.943250656	-1.277500033	1.0000000000	23.1399993896	-7.3800001144
-5.877500057	18.939750671	-1.274250031	3.0000000000	21.9099998474	-4.1599998474
-5.875000000	18.942750931	-1.274749994	5.0000000000	21.5900001526	-5.1700000763
-5.874750137	18.942249298	-1.274500012	2.0000000000	18.4699993134	-5.2800002098
-5.883500099	18.943500519	-1.267750025	3.0000000000	19.7999992371	-6.2699999809
-5.876249790	18.940750122	-1.266749978	3.0000000000	13.8100004196	-6.9000000954
-5.875750065	18.942499161	-1.266999960	2.0000000000	20.5900001526	-5.4800000191
-5.864999771	18.938499451	-1.278749943	2.0000000000	18.7099990845	-5.0399999619
-5.868000031	18.943000793	-1.279999971	2.0000000000	21.9599990845	-4.8000001907
-5.867249966	18.941249847	-1.277750015	3.0000000000	20.7000007629	-5.3699998856
-5.870999813	18.942499161	-1.273749948	3.0000000000	23.1900005341	-7.3400001526
-5.860249996	18.940250397	-1.279250026	1.0000000000	20.9599990845	-5.1100001335
